area,travel_time_min,safety,social_infra,road_access,neighborhood_quality,green_spaces,noise_congestion,amenities_density,cauvery_reliability
SahakaraNagar,32,84,83,80,83,63,60,86,83
Yelahanka,48,82,77,75,79,71,55,76,81
Jakkur,35,81,74,73,80,67,59,74,79
Hennur,40,79,76,70,78,64,61,78,76
Kogilu,45,77,70,68,76,65,57,72,75
Thanisandra,36,74,80,72,75,58,70,82,72
Hebbal,28,81,85,79,80,56,67,89,78
AirportRoad,50,76,73,75,74,68,58,71,74
Devanahalli,58,71,67,72,70,73,52,64,68
Bagalur,55,68,61,66,67,69,57,60,54
