listing_id,project_name,area,property_type,bedrooms,status,builder_name,builder_track_record,builder_delay_history,builder_handover_reliability,builder_legal_cleanliness,builder_construction_sentiment,price_base_cr,price_all_in_cr,water_backup,power_backup,security,parking,clubhouse,kid_senior_spaces,rera_id,handover_year,source_confidence,excluded_reason
L001,NorthGateResidences,SahakaraNagar,apartment,3,under_construction,Prestige,90,12,91,93,88,2.28,2.46,1,1,1,1,1,1,,2023.0,fuzzy_match,no_rera
L002,CedarPark,SahakaraNagar,row_house,4,under_construction,Brigade,88,15,89,90,86,2.3,2.49,1,1,1,1,1,1,,,unverified,no_rera
L003,SkylaneHeights,SahakaraNagar,apartment,3,under_construction,Sobha,92,10,94,94,89,2.4,2.62,1,1,1,1,1,1,,,unverified,no_rera
L004,MapleVista,SahakaraNagar,apartment,3,under_construction,Goyal,83,18,84,85,80,2.05,2.24,1,1,1,1,0,1,,,unverified,no_rera
L005,LakefrontRowHomes,SahakaraNagar,row_house,3,under_construction,TotalEnvironment,89,16,90,92,87,2.35,2.57,1,1,1,1,1,1,,,unverified,no_rera
L007,OliveMews,SahakaraNagar,row_house,4,under_construction,Assetz,85,17,86,88,84,2.22,2.45,1,1,1,1,1,0,,,unverified,no_rera
L008,SkylineCourtyard,SahakaraNagar,apartment,3,under_construction,Puravankara,84,19,83,86,81,2.12,2.31,1,1,1,1,0,1,,,unverified,no_rera
L009,CrownTerraces,SahakaraNagar,row_house,3,under_construction,Century,80,22,79,81,78,2.18,2.37,1,1,1,1,0,1,,,unverified,no_rera
L010,UrbanCanopy,SahakaraNagar,apartment,3,under_construction,KoltePatil,79,21,80,82,77,1.98,2.16,1,1,1,1,0,0,,,unverified,no_rera
L011,RunwayEnclave,Yelahanka,apartment,3,under_construction,Prestige,90,12,91,93,88,2.26,2.42,1,1,1,1,1,1,,,unverified,no_rera
L012,NorthCounty,Yelahanka,row_house,4,under_construction,Brigade,88,15,89,90,86,2.42,2.68,1,1,1,1,1,1,,,unverified,no_rera
L013,ElmAvenues,Yelahanka,apartment,3,under_construction,Sobha,92,10,94,94,89,2.18,2.39,1,1,1,1,1,1,PR/200526/003430,2026.0,fuzzy_match,handover_lt_2027
L014,GardenCraft,Yelahanka,apartment,3,under_construction,Goyal,83,18,84,85,80,1.92,2.08,1,1,1,1,0,1,,,unverified,no_rera
L015,ParklineRows,Yelahanka,row_house,3,under_construction,TotalEnvironment,89,16,90,92,87,2.31,2.55,1,1,1,1,1,1,,,unverified,no_rera
L016,AeroVista,Yelahanka,apartment,3,under_construction,Assetz,85,17,86,88,84,2.1,2.28,1,1,1,1,1,0,PRM/KA/RERA/1251/472/PR/080525/007728,,fuzzy_match,no_handover
L017,CityPortico,Yelahanka,apartment,3,under_construction,Puravankara,84,19,83,86,81,2.01,2.2,1,1,1,1,0,1,,,unverified,no_rera
L018,LeafAndStone,Yelahanka,row_house,4,under_construction,Century,80,22,79,81,78,2.34,2.52,1,1,1,1,0,1,,,unverified,no_rera
L019,WoodlandSquare,Yelahanka,apartment,3,under_construction,KoltePatil,79,21,80,82,77,1.89,2.03,1,1,1,1,0,0,,,unverified,no_rera
L020,NorthernArc,Yelahanka,apartment,3,under_construction,Godrej,87,14,88,89,85,2.22,2.47,1,1,1,1,1,1,,2030.0,unverified,no_rera
L021,JasmineBlocks,Yelahanka,apartment,3,under_construction,ShapoorjiPallonji,86,17,85,88,84,2.06,2.26,1,1,1,1,1,0,,,unverified,no_rera
L022,SaffronTerrace,Yelahanka,row_house,3,under_construction,Provident,78,24,77,79,75,2.14,2.34,1,1,1,1,0,1,,,unverified,no_rera
L027,TerraceOne,Yelahanka,apartment,3,under_construction,Prestige,90,12,91,93,88,2.05,2.23,1,1,1,1,1,1,,,unverified,no_rera
L028,CanopyRows,SahakaraNagar,row_house,3,under_construction,Brigade,88,15,89,90,86,2.17,2.41,1,1,1,1,1,1,,,unverified,no_rera
